"ADAPTATIONS"	3
"ADAPTED"	12
"AEGIR"	4
"AFRICA"	4
"AGES"	4
"AGO"	4
"AGREE"	2
"AGREEMENT"	1
"AIR"	3
"AK"	1
"ALBATROSS"	2
"ALFRED"	1
"ALL"	1
"ALLIGATOR"	2
"ALONG"	2
"ALPHA"	1
"ALSATIAN"	2
"ALSO"	2
"ALTAMIRA"	4
"ALTERNATING"	2
"AMOEBA"	2
"AMONGST"	2
"AN"	35
"ANALYSING"	2
"ANCESTORS"	2
"AND"	98
"ANDROMEDA"	2
"ANIMAL"	10
"ANIMALS"	15
"ANIMALSBEGINNINGS"	1
"ANOTHER"	4
"ANT"	2
"ANTHROPOID"	2
"ANVIL"	2
"ANY"	3
"ANYTHING"	1
"APE"	1
"APEMAN"	3
"APEMANAN"	2
"APES"	4
"APPARATUS"	2
"APPEARANCE"	2
"APPEARANCES"	2
"AQUATIC"	2
"ARBOREAL"	2
"ARC"	2
"ARCHITECTURE"	2
"ARCH\u00c6OPTERYX"	2
"ARCH\u00c6OZOIC"	1
"ARCTURUS"	1
"ARE"	12
"ARGONAUTA"	2
"ARM"	1
"ARMS"	2
"AROUND"	3
"ARRANGEMENT"	2
"ARRANGEMENTS"	2
"ARRHENIUS"	1
"ARTHUR"	6
"ARTISTIC"	2
"AS"	10
"ASCENT"	5
"ASCII"	2
"ASIA"	2
"ASIS"	1
"ASTRONOMICAL"	1
"AT"	20
"ATOM"	2
"ATOMS"	7
"ATTACHED"	2
"ATTACKING"	2
"ATTITUDE"	2
"ATTRACTION"	2
"AURORA"	2
"AUSTRALIA"	6
"AUSTRALIAN"	4
"AVOCETS"	2
"About"	1
"Above"	4
"Abovethat"	1
"According"	12
"Account"	1
"Acquisitions"	2
"Action"	1
"Actions"	1
"Activity"	1
"Activitys"	1
"Actual"	1
"Adaptations"	1
"Additional"	1
"Addresses"	1
"Adopting"	1
"Adventurers"	1
"Afghans"	1
"Africa"	8
"African"	6
"Africans"	1
"After"	39
"Again"	2
"Agassiz"	1
"Age"	22
"Agency"	7
"Ages"	11
"Air"	1
"Alaska"	1
"Alfred"	1
"Alg\u00e6"	3
"Algol"	3
"All"	15
"Allies"	1
"Almanac"	2
"Almost"	1
"Along"	4
"Alpha"	5
"Alpine"	1
"Alpines"	1
"Alps"	1
"Already"	2
"Also"	1
"Although"	4
"Alytes"	1
"Amarus"	2
"America"	16
"American"	10
"Americana"	2
"Amniota"	1
"Amoeb\u00e6"	3
"Amoeba"	1
"Among"	6
"Amphibia"	1
"Amphibian"	3
"Amphibians"	24
"An"	27
"Analysis"	1
"Anamnia"	1
"Anatomical"	2
"Anatomy"	1
"Ancient"	5
"And"	54
"Andalusia"	1
"Andes"	1
"Angler"	1
"Angoras"	1
"Anguilla"	2
"Animal"	6
"Animalcule"	3
"Animals"	9
"Animalsthe"	1
"Animate"	3
"Annelids"	1
"Anolis"	1
"Another"	18
"Antarctic"	2
"Anteaters"	1
"Anthropoid"	3
"Anthropology"	3
"Antiquity"	1
"Anvil"	1
"Any"	1
"Anyone"	2
"Apart"	4
"Apennines"	1
"Apes"	1
"Apparently"	1
"Apprenticeship"	1
"April"	4
"Aptitudes"	2
"Aquatic"	1
"Aquitania"	1
"Arabia"	1
"Arboreal"	1
"Arch\u00e6opteryx"	4
"Arch\u00e6ozoic"	1
"Archimedes"	1
"Archive"	13
"Arctic"	7
"Are"	1
"Area"	1
"Arges"	1
"Argonaut"	1
"Argyroneta"	1
"Aristotle"	2
"Aristotles"	1
"Arno"	1
"Artemia"	1
"Arthropods"	4
"Arthur"	9
"Artificial"	1
"As"	50
"Ascent"	3
"Asia"	9
"Association"	3
"Associative"	1
"Asterias"	2
"Astronomers"	4
"Astronomical"	2
"Astronomy"	10
"Astrophysical"	3
"At"	28
"Atlantic"	6
"Atom"	1
"Atoms"	4
"Atromaculatus"	2
"Attempts"	1
"Attention"	1
"August"	2
"Aurelia"	1
"Australia"	4
"Australiaall"	1
"Australian"	5
"Author"	1
"Aveburys"	1
"Avoided"	1
"Azores"	1
"B"	11
"BABY"	6
"BACK"	2
"BACKBONELESS"	2
"BALANCING"	2
"BALL"	4
"BANDED"	2
"BANDS"	2
"BARON"	2
"BASKET"	2
"BC"	2
"BE"	7
"BEAR"	2
"BEAUTIFULLY"	2
"BEAVER"	2
"BECOME"	4
"BEETLE"	4
"BEFORE"	1
"BEGIN"	2
"BEGINNING"	5
"BEHAVIOUR"	3
"BELOW"	1
"BETWEEN"	4
"BEUNE"	2
"BEYOND"	1
"BIBLIOGRAPHY"	5
"BIG"	4
"BILL"	12
"BILLS"	2
"BIPED"	2
"BIRD"	9
"BIRDS"	2
"BIRTH"	1
"BISON"	4
"BITTERLING"	2
"BITTERN"	2
"BOAR"	2
"BODIES"	2
"BODIESEVOLUTION"	1
"BOILING"	2
"BONES"	1
"BOREALIS"	2
"BRAGG"	2
"BRAIN"	2
"BRAINCASE"	2
"BRAINS"	2
"BRANCHES"	2
"BRAZIL"	2
"BREACH"	2
"BREAKING"	2
"BREAKS"	2
"BREEDING"	2
